"ID","Sex","Twin","Horn","BirthYear","BirthWt","DaysSinceBirth","MumID","MumAge","PopSize","IGF1","PlateNumber","ELISARunDate","StorageTime","CapHour_Tertiles","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
12639,1,0,2,2021,2.079999924,123,11582,3,557,651.757861,4,"7/3/2024",2,"Morning",9.9,103,NA,0,0
12603,1,0,3,2021,2.599999905,116,8751,9,557,649.6120859,4,"7/3/2024",2,"Afternoon",12.85,110,108,1,0
11069,1,0,1,2016,NA,121,6927,8,444,959.8318155,4,"7/3/2024",7,"Afternoon",8.35,100,1,0,0
10599,2,0,3,2016,3,106,8783,4,444,943.86579295,4,"7/3/2024",7,"Morning",16.5,121,168,0,1
10601,1,1,3,2016,1.570000052,106,7185,7,444,691.28161415,4,"7/3/2024",7,"Morning",9.8,98,78,1,0
10534,2,0,1,2016,2.400000095,112,8730,4,444,810.54831485,4,"7/3/2024",7,"Afternoon",12.95,111,55,0,0
10536,1,0,2,2016,2.25,112,7574,6,444,788.7949976,4,"7/3/2024",7,"Afternoon",11.55,111,NA,1,0
10709,1,0,2,2016,NA,106,7227,7,444,733.1072353,4,"7/3/2024",7,"Afternoon",11.7,109,NA,0,1
10618,1,0,1,2016,2.049999952,111,9083,3,444,612.2906274,4,"7/3/2024",7,"Evening",13.55,108,NA,1,1
10550,1,0,2,2016,2.019999981,110,9086,3,444,799.7053104,4,"7/3/2024",7,"Morning",13.5,112,NA,1,1
10660,1,0,1,2016,2.440000057,98,6348,10,444,849.1083846,4,"7/3/2024",7,"Afternoon",11.2,104,1,0,0
10610,1,0,2,2016,2.460000038,111,9169,3,444,808.01209165,4,"7/3/2024",7,"Evening",13.9,115,NA,1,0
10713,1,0,1,2016,NA,101,9165,3,444,866.9923598,4,"7/3/2024",7,"Morning",12.4,105,NA,0,1
10566,2,0,3,2016,3.099999905,112,8265,5,444,893.14366845,4,"7/3/2024",7,NA,16.9,120,153,0,0
10533,2,0,3,2016,2.099999905,112,7241,7,444,877.38215565,4,"7/3/2024",7,"Morning",15.35,111,113,0,0
10662,2,0,3,2016,2.24000001,97,6967,8,444,589.51332035,4,"7/3/2024",7,"Morning",10,110,72,NA,0
10628,1,0,2,2016,2.25,103,8258,5,444,836.94040935,4,"7/3/2024",7,"Afternoon",13.2,108,NA,0,1
10611,1,0,3,2016,2.50999999,113,8720,4,444,777.0111373,4,"7/3/2024",7,"Afternoon",14.05,112,94,0,NA
10631,2,0,3,2016,2,109,6851,8,444,819.36913645,4,"7/3/2024",7,"Evening",14.35,112,178,0,0
10595,2,0,3,2016,2.099999905,109,9805,2,444,518.17884725,5,"8/3/2024",7,"Morning",12.45,106,67,0,0
10659,2,0,1,2016,2.559999943,100,7230,7,444,606.0290571,5,"8/3/2024",7,"Afternoon",13.05,112,32,0,1
10535,2,0,3,2016,2.299999952,112,8731,4,444,559.9500801,5,"8/3/2024",7,"Morning",15.6,118,163,0,0
10587,2,0,3,2016,2.450000048,115,7143,7,444,453.3329527,5,"8/3/2024",7,"Evening",14.8,112,195,1,0
10602,2,1,3,2016,1.860000014,106,7185,7,444,256.2411129,5,"8/3/2024",7,"Morning",10.9,106,121,0,1
10619,1,0,2,2016,1.870000005,111,11077,NA,444,493.45665015,5,"8/3/2024",7,"Evening",13.05,113,NA,0,0
